﻿X,Y,name
21.4238539,41.9952491,Burger Friends
21.424583,41.9965778,American best burger
21.4253358,41.9955693,Стрип
21.425567,41.9955107,Domino's Pizza
21.4239699,41.9981195,Паб Порта
21.4236496,41.9990664,Gostilnica Estel
21.4253762,41.9986406,Винил
21.4237032,42.0000584,Пемпеле
21.4252581,42.0001581,Бруклински
21.4268596,42.0003611,Жито Леб
21.4268797,42.0007066,Thirio
21.4239655,42.0028235,Костарика
21.4240111,42.0028813,Старо Скупи
21.4240218,42.0030128,Занзибар
21.4242333,42.003366,Калабалак
21.4280925,42.0039853,Парк
21.427293,42.0059792,Four
21.4264446,42.0068068,Bar Reka
21.4273688,42.0062927,Брик бар
21.4260361,41.9907255,Coffee O'Clock
21.4276864,41.9913338,Star Ocean
21.4280088,41.9913688,Бифиња - Рамстор
21.4279999,41.9915759,Burger King
20.9059889,41.7926372,Кафе Клуб 97
20.9049674,41.8009922,Dani
20.9080722,41.7932482,Loune Bar Fantastica
20.9090036,41.7928399,Familijar Restaurant
20.9079995,41.7939504,Liquid
20.9103122,41.7926594,Kaçamaku
20.9113126,41.7929887,Чајџилница кај Гоце 
20.9135714,41.798662,Happy M grill
20.8982089,41.8060047,Чајџилница кај Басто
21.4237345,41.7918174,Планинарски дом Караџица
20.8894169,41.7940939,gelateria JIMMY
20.8840093,41.8299622,Elfat
20.8857573,41.8413949,Nebi
20.8909686,41.8650269,Kafe Bar “Bonton”
21.4204907,41.9904847,Marana
21.4207515,41.9906511,MFC - Macedonian Fried Chicken
21.4192046,41.9927714,Изи
21.4199442,41.9959518,Restoran Frosina
22.3532041,42.0371055,Осоговски Бисер
22.6328921,41.4352537,Loven Dom
22.6382644,41.4372542,BU Coffee to go
22.6389491,41.4389263,City Cafe
22.6389577,41.4389263,Gala Live
22.6390002,41.4390286,Inside Cafe
22.6378848,41.4395247,Cafe 19
22.6377556,41.4397043,PR Cafe
22.6379105,41.4395826,23
22.637799,41.4397692,Extreme Cafe
22.6383287,41.4403734,Conept Cafe
22.6390517,41.4390994,Inside Cafe
22.6481556,41.4327076,Кафе за носење - Стори
22.6452777,41.4378354,Вкус
22.6490943,41.4385145,Bakers
22.6502444,41.4392415,Luna 2
22.6388602,41.4409617,Salomon fud
22.6433683,41.4433529,Чамовски
22.819584,41.3811426,Ресторан СОНЦЕ - Restaurant SONCE
22.705272,41.4404325,Национал
22.6153456,41.5162501,ЈаворШпед
22.6876979,41.1949131,Фердинанка
22.7242971,41.180711,Нота
22.7219422,41.1842982,Фук Так
22.9354984,41.7301724,Дивине
22.9422359,41.7297622,Идила
22.587663,42.0179585,Osmica
22.5877841,42.0248909,Elita
22.5874645,42.0255684,Restaurant Idnina
22.5914449,42.0170338,"""Kaj Govedoto"" Restaurant"
