?X,Y,name
21.423451,42.0002331,Radio bar
21.4235498,42.00231,Speakeasy
21.4235595,42.0023813,??? ???? ???
21.4193986,41.9868025,???? ????
22.6366903,41.231591,Elita
20.958638,41.986155,Emka
20.9602367,41.9912803,Ultra
20.9602672,41.9913951,Ultra
20.959919,41.9916981,M House
20.9608123,41.992301,??? 2000
20.961125,41.9976539,Restaurant Boss
20.9614188,41.9995695,Era
20.9518032,42.0012645,???? ????
20.9619853,41.999321,Riva Caffè
20.9633055,42.0060772,Amaretta (Red&Black)
20.9713496,42.0075938,Garden
20.9714342,42.0075662,Irish Pub
20.9721424,42.0072505,Tantra
20.971694,42.0073312,Maroon Bar
20.9718414,42.0073693,Barcode
20.9746292,42.0073877,11
20.9731075,42.0080851,Maestro Cafe
20.9750309,42.0077518,Restaurant Sirena
20.9737785,42.0100645,????? ????
20.9740134,42.0100196,???????? ????
20.9756816,42.009057,???????? ?????
20.9758291,42.0089945,???????? ???????? ????
20.9758432,42.0095705,????-???????? ????? ?????
20.97935,42.0067252,?????? ?????????
20.9791319,42.0088358,????? ????
20.9798693,42.0087006,???? ????
20.9893133,42.0042922,?????
20.989483,42.0040789,Aksaraj
20.9895845,42.0041365,Doner Kebab
20.9894268,42.0041795,Restaurant Emporium
20.989468,42.0042478,Fontana Grill
20.9896305,42.0042064,Chitir Chicken
20.9660018,42.0133094,???????
21.0271684,42.0664398,??????????? ????????
21.0398878,42.0597188,????????? ????????
21.041931,42.0609612,????? ????
21.0503487,42.0705093,?????????? ?????
21.0512358,42.072656,???????? ????
21.0514706,42.0755301,???????? ?????
21.4871217,42.0072516,Hunter’s Lodge “Kamnik”
21.4941048,41.9977923,????
21.4960141,42.0013936,??????? ??????
21.4600445,41.9978436,Dojrana Skopje
21.4605034,42.0026892,?????? ????????? ???
21.4614608,42.002646,?? ?????
21.4647397,42.0019716,???? - ?????
21.4648097,42.0030521,??? ???? ?? ????
21.4523161,42.0537503,??????
21.4484,42.0582551,Royal
21.4502266,42.060135,????
21.4514149,42.0578588,???????? „??????????“
21.4888884,42.0903883,????? ????????
21.4391463,41.9834793,?????
21.4390455,41.9841333,?????
21.4422139,41.9922032,??? ?????
21.4427246,41.9922973,?????
